,daily,daily_lower,daily_upper,ds,y,yhat_lower,yhat_upper
119,0.39802779,0.39802779,0.39802779,05/01/2016 23:00,218.6629621,61.42709274,863.6823469
120,0.297424502,0.297424502,0.297424502,06/01/2016 0:00,163.397708,45.4730775,613.5602884
121,0.208980286,0.208980286,0.208980286,06/01/2016 1:00,114.8105827,28.23228565,469.6003196
122,0.209676084,0.209676084,0.209676084,06/01/2016 2:00,115.1948023,32.87489093,475.3239966
123,0.298980377,0.298980377,0.298980377,06/01/2016 3:00,164.2608465,46.21291568,624.5361706
124,0.400166708,0.400166708,0.400166708,06/01/2016 4:00,219.856703,59.94055727,816.8095792
125,0.349454434,0.349454434,0.349454434,06/01/2016 5:00,191.9979961,50.1046542,714.4948797
126,0.223838116,0.223838116,0.223838116,06/01/2016 6:00,122.9837036,33.2074875,476.6329726
127,0.181463762,0.181463762,0.181463762,06/01/2016 7:00,99.70359548,24.29414043,342.729405
128,0.299420658,0.299420658,0.299420658,06/01/2016 8:00,164.516725,40.82420325,619.867196
129,0.953564268,0.953564268,0.953564268,06/01/2016 9:00,523.9449383,112.2605171,1911.111277
130,3.394266679,3.394266679,3.394266679,06/01/2016 10:00,1865.043759,512.1474965,5887.16463
131,7.800109498,7.800109498,7.800109498,06/01/2016 11:00,4285.989961,1240.505548,17783.85353
132,10.54663655,10.54663655,10.54663655,06/01/2016 12:00,5795.245187,1466.822497,20602.20743
133,11.81315606,11.81315606,11.81315606,06/01/2016 13:00,6491.292233,1599.861596,23253.76822
134,15.05782282,15.05782282,15.05782282,06/01/2016 14:00,8274.367146,2232.987973,35173.3129
135,19.41787295,19.41787295,19.41787295,06/01/2016 15:00,10670.42321,2829.603268,38675.6354
136,15.7371823,15.7371823,15.7371823,06/01/2016 16:00,8647.9735,2147.769018,35661.701
137,5.766906697,5.766906697,5.766906697,06/01/2016 17:00,3169.112703,730.5928529,13282.1353
138,1.220493962,1.220493962,1.220493962,06/01/2016 18:00,670.7146294,178.6601107,2209.64461
139,0.305739574,0.305739574,0.305739574,06/01/2016 19:00,168.0200791,44.90584067,629.4407004
140,0.169067288,0.169067288,0.169067288,06/01/2016 20:00,92.91300362,23.99421705,346.7117946
141,0.210787712,0.210787712,0.210787712,06/01/2016 21:00,115.8429448,29.95880838,438.3466342
142,0.341564937,0.341564937,0.341564937,06/01/2016 22:00,187.7175883,47.42778792,673.6530007
143,0.39802779,0.39802779,0.39802779,06/01/2016 23:00,218.7522171,54.66092588,770.4883544
144,0.297424502,0.297424502,0.297424502,07/01/2016 0:00,163.4644046,44.5535907,634.624445
145,0.208980286,0.208980286,0.208980286,07/01/2016 1:00,114.8574467,28.82112038,468.9808302
146,0.209676084,0.209676084,0.209676084,07/01/2016 2:00,115.2418231,27.92394716,431.5800736
147,0.298980377,0.298980377,0.298980377,07/01/2016 3:00,164.3278954,41.80633123,660.7374198
148,0.400166708,0.400166708,0.400166708,07/01/2016 4:00,219.9464452,56.05189609,876.3665259
149,0.349454434,0.349454434,0.349454434,07/01/2016 5:00,192.0763668,52.2040343,752.8247691
150,0.223838116,0.223838116,0.223838116,07/01/2016 6:00,123.0339037,34.97441089,451.8323385
151,0.181463762,0.181463762,0.181463762,07/01/2016 7:00,99.744293,27.09129981,381.3900493
152,0.299420658,0.299420658,0.299420658,07/01/2016 8:00,164.5838782,42.69044632,600.9367727
153,0.953564268,0.953564268,0.953564268,07/01/2016 9:00,524.1588048,144.4582893,1947.822814
154,3.394266679,3.394266679,3.394266679,07/01/2016 10:00,1865.805042,493.6608641,7247.983719
155,7.800109498,7.800109498,7.800109498,07/01/2016 11:00,4287.739439,1059.894409,16472.90013
156,10.54663655,10.54663655,10.54663655,07/01/2016 12:00,5797.61072,1335.696938,22395.1909
157,11.81315606,11.81315606,11.81315606,07/01/2016 13:00,6493.941882,1606.727815,26625.03541
158,15.05782282,15.05782282,15.05782282,07/01/2016 14:00,8277.744619,2310.25078,32709.46695
159,19.41787295,19.41787295,19.41787295,07/01/2016 15:00,10674.77872,2721.620678,42356.24768
160,15.7371823,15.7371823,15.7371823,07/01/2016 16:00,8651.503474,2129.396833,32993.28876
161,5.766906697,5.766906697,5.766906697,07/01/2016 17:00,3170.406287,689.2208466,10857.98628
162,1.220493961,1.220493961,1.220493961,07/01/2016 18:00,670.9884051,157.2837079,2369.797849
163,0.305739574,0.305739574,0.305739574,07/01/2016 19:00,168.0886624,44.16794837,620.1296692
164,0.169067288,0.169067288,0.169067288,07/01/2016 20:00,92.95092932,21.63202416,341.3848826
165,0.210787712,0.210787712,0.210787712,07/01/2016 21:00,115.8902302,31.19350996,413.7236741
